"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P1a";"0";"0";"376";"441";"162";"3,45";"3,74";"-"
"2";"P1a";"399";"399";"775";"343";"117";"3,46";"3,79";"01_re_battered"
"3";"P1a";"1198";"798";"634";"821";"155";"3,55";"3,79";"-"
"4";"P1a";"1855";"657";"423";"1280";"119";"3,72";"3,95";"-"
"5";"P1a";"2301";"446";"258";"1533";"109";"4,22";"3,69";"-"
"6";"P1a";"2583";"282";"164";"1433";"75";"8,37";"3,66";"-"
"7";"P1a";"2771";"188";"892";"1483";"112";"4,2";"3,87";"-"
"8";"P1a";"3734";"963";"376";"236";"205";"3,59";"4,27";"04_re_was"
"9";"P1a";"4203";"470";"305";"344";"228";"3,32";"3,67";"-"
"10";"P1a";"4532";"329";"564";"578";"339";"3,42";"3,74";"11_re_everyone"
"11";"P1a";"5119";"587";"493";"815";"235";"3,64";"4,15";"-"
"12";"P1a";"5636";"517";"399";"1225";"247";"3,66";"3,8";"-"
"13";"P1a";"6058";"423";"164";"1410";"203";"3,66";"3,72";"07_re_been"
"14";"P1a";"6270";"211";"540";"309";"263";"3,56";"4,11";"-"
"15";"P1a";"6927";"657";"446";"441";"277";"3,4";"3,72";"-"
"16";"P1a";"7397";"470";"211";"701";"321";"3,59";"3,79";"-"
"17";"P1a";"7749";"352";"728";"639";"333";"3,5";"3,82";"-"
"18";"P1a";"8500";"751";"845";"999";"446";"3,77";"3,9";"-"
"19";"P1a";"9369";"869";"446";"1232";"319";"3,77";"3,9";"13_re_when"
"20";"P1a";"9839";"470";"141";"1439";"313";"3,63";"3,63";"-"
"21";"P1a";"10027";"188";"493";"325";"344";"3,5";"3,95";"-"
"22";"P1a";"10543";"517";"117";"617";"372";"3,51";"3,67";"-"
"23";"P1a";"10778";"235";"305";"700";"439";"3,37";"3,71";"-"
"24";"P1a";"11107";"329";"517";"1045";"388";"3,64";"3,61";"-"
"25";"P1a";"11741";"634";"517";"1309";"384";"3,43";"3,45";"-"
"26";"P1a";"12304";"564";"916";"334";"435";"3,4";"3,98";"14_re_at"
"27";"P1a";"13243";"939";"1010";"699";"445";"3,38";"3,66";"-"
"28";"P1a";"14371";"1127";"1221";"957";"451";"3,43";"3,66";"-"
"29";"P1a";"15615";"1245";"399";"1333";"416";"3,46";"3,53";"17_re_ground"
"30";"P1a";"16061";"446";"446";"251";"464";"3,45";"3,95";"-"
"31";"P1a";"16719";"657";"775";"486";"495";"3,51";"3,64";"-"
"32";"P1a";"17517";"798";"470";"884";"504";"3,43";"3,66";"-"
"33";"P1a";"18010";"493";"399";"1153";"492";"3,46";"3,59";"-"
"34";"P1a";"18456";"446";"423";"294";"545";"3,32";"3,82";"-"
"35";"P1a";"19043";"587";"376";"524";"534";"3,66";"3,72";"22_re_withdrew"
"36";"P1a";"19443";"399";"611";"847";"569";"3,53";"3,79";"-"
"37";"P1a";"20077";"634";"282";"1279";"548";"3,59";"3,64";"-"
"38";"P1a";"20382";"305";"258";"1463";"516";"3,4";"3,29";"-"
"39";"P1a";"20711";"329";"352";"251";"598";"3,21";"3,83";"-"
