"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P1a";"0";"0";"352";"407";"160";"3,42";"3,69";"-"
"2";"P1a";"376";"376";"564";"300";"147";"3,42";"3,83";"-"
"3";"P1a";"1010";"634";"352";"486";"153";"0";"3,63";"-"
"4";"P1a";"1385";"376";"657";"886";"148";"3,64";"3,96";"-"
"5";"P1a";"2066";"681";"611";"1286";"118";"3,75";"3,79";"-"
"6";"P1a";"2747";"681";"634";"339";"185";"3,75";"4,33";"-"
"7";"P1a";"3405";"657";"470";"716";"235";"3,66";"4,01";"-"
"8";"P1a";"3898";"493";"517";"1075";"254";"3,88";"3,96";"-"
"9";"P1a";"4438";"540";"305";"1374";"220";"3,82";"3,8";"-"
"10";"P1a";"4790";"352";"258";"327";"275";"3,71";"4,15";"-"
"11";"P1a";"5072";"282";"141";"209";"277";"3,61";"4,01";"-"
"12";"P1a";"5307";"235";"188";"340";"336";"3,34";"0";"-"
"13";"P1a";"5518";"211";"540";"361";"274";"3,51";"3,87";"-"
"14";"P1a";"6199";"681";"681";"534";"336";"3,58";"3,88";"-"
"15";"P1a";"6904";"704";"634";"912";"343";"3,79";"3,85";"-"
"16";"P1a";"7561";"657";"751";"1339";"304";"3,59";"3,72";"-"
"17";"P1a";"8359";"798";"657";"333";"393";"3,67";"4,24";"-"
"18";"P1a";"9111";"751";"235";"177";"361";"3,5";"3,8";"-"
"19";"P1a";"9463";"352";"352";"368";"378";"3,5";"3,85";"-"
"20";"P1a";"9839";"376";"399";"755";"402";"3,77";"3,93";"-"
"21";"P1a";"10261";"423";"399";"1033";"397";"3,61";"3,79";"-"
"22";"P1a";"10684";"423";"517";"1356";"369";"3,58";"3,64";"-"
"23";"P1a";"11271";"587";"376";"236";"430";"3,43";"3,95";"-"
"24";"P1a";"11694";"423";"470";"497";"519";"3,4";"3,63";"-"
"25";"P1a";"12187";"493";"446";"831";"445";"3,48";"3,66";"-"
"26";"P1a";"12656";"470";"376";"1214";"426";"3,61";"3,61";"-"
"27";"P1a";"13056";"399";"540";"1455";"401";"3,55";"3,4";"-"
"28";"P1a";"13737";"681";"188";"184";"533";"3,21";"3,82";"-"
"29";"P1a";"13948";"211";"751";"386";"526";"3,34";"3,93";"-"
"30";"P1a";"14723";"775";"282";"597";"499";"3,4";"3,67";"-"
"31";"P1a";"15122";"399";"423";"893";"557";"3,59";"0";"-"
"32";"P1a";"15568";"446";"376";"1284";"480";"3,55";"3,53";"-"
"33";"P1a";"16132";"564";"470";"297";"534";"3,29";"3,96";"-"
"34";"P1a";"16719";"587";"164";"488";"624";"3,85";"0";"-"
"35";"P1a";"16907";"188";"611";"730";"566";"3,5";"3,85";"-"
"36";"P1a";"17541";"634";"845";"1080";"554";"3,48";"3,61";"-"
"37";"P1a";"18409";"869";"587";"1397";"537";"3,42";"3,48";"-"
"38";"P1a";"19043";"634";"282";"300";"602";"3,45";"3,82";"-"
"39";"P1a";"19466";"423";"258";"343";"565";"3,4";"3,79";"-"
"40";"P1a";"19748";"282";"1127";"662";"626";"3,43";"3,58";"-"
"41";"P1a";"20898";"1151";"986";"996";"625";"3,46";"3,69";"-"
"42";"P1a";"21908";"1010";"751";"1389";"603";"3,4";"3,46";"-"
"43";"P1a";"22683";"775";"188";"1543";"576";"0";"3,4";"-"
"44";"P1a";"22941";"258";"1291";"302";"675";"3,38";"3,82";"-"
"45";"P1a";"24256";"1315";"470";"470";"687";"3,38";"3,66";"-"
"46";"P1a";"24749";"493";"822";"719";"703";"3,4";"3,75";"-"
"47";"P1a";"25595";"845";"775";"1114";"694";"3,5";"3,71";"-"
"48";"P1a";"26393";"798";"258";"1331";"702";"3,87";"3,42";"-"
"49";"P1a";"26698";"305";"634";"311";"748";"3,29";"3,91";"-"
"50";"P1a";"27356";"657";"657";"327";"726";"4,12";"3,63";"-"
"51";"P1a";"28037";"681";"446";"682";"775";"3,46";"3,83";"-"
"52";"P1a";"28506";"470";"164";"999";"776";"3,88";"3,5";"-"
"53";"P1a";"28859";"352";"376";"837";"738";"3,51";"3,69";"-"
"54";"P1a";"29258";"399";"423";"1283";"749";"3,59";"3,55";"-"
"1";"P3";"0";"0";"164";"1540";"932";"2,44";"2,63";"-"
"2";"P3";"188";"188";"211";"879";"524";"2,57";"2,89";"-"
"3";"P3";"423";"235";"188";"585";"120";"2,55";"3";"-"
"4";"P3";"634";"211";"2395";"298";"91";"0";"2,57";"-"
"5";"P3";"3053";"2419";"1057";"645";"104";"0";"2,63";"-"
"6";"P3";"4133";"1080";"822";"966";"120";"0";"2,61";"-"
"7";"P3";"4978";"845";"681";"1315";"107";"2,45";"2,61";"-"
"8";"P3";"5706";"728";"517";"288";"167";"2,5";"2,86";"-"
"9";"P3";"6246";"540";"258";"507";"233";"2,47";"2,47";"-"
"10";"P3";"6528";"282";"164";"582";"330";"0";"2,36";"-"
"11";"P3";"6716";"188";"869";"719";"184";"0";"2,55";"-"
"12";"P3";"7608";"892";"845";"1048";"172";"2,41";"2,44";"-"
"13";"P3";"8477";"869";"1057";"1318";"179";"2,6";"2,65";"-"
"14";"P3";"9604";"1127";"1832";"362";"256";"2,41";"2,73";"-"
"15";"P3";"11459";"1855";"1033";"734";"287";"2,57";"2,76";"-"
"16";"P3";"12516";"1057";"1127";"1047";"270";"2,61";"2,73";"-"
"17";"P3";"13666";"1151";"1151";"1379";"255";"2,61";"2,69";"-"
"18";"P3";"14887";"1221";"822";"320";"342";"2,29";"2,71";"-"
"19";"P3";"15732";"845";"986";"504";"371";"2,25";"2,52";"-"
"20";"P3";"16742";"1010";"634";"828";"343";"2,29";"2,49";"-"
"21";"P3";"17400";"657";"1010";"1222";"326";"2,52";"2,61";"-"
"22";"P3";"18433";"1033";"775";"1472";"314";"2,49";"2,42";"-"
"23";"P3";"19255";"822";"1080";"345";"399";"2,42";"2,73";"-"
"24";"P3";"20358";"1104";"704";"800";"411";"2,52";"2,58";"-"
"25";"P3";"21086";"728";"798";"634";"414";"2,42";"2,6";"-"
"26";"P3";"21908";"822";"751";"906";"435";"0";"2,49";"-"
"27";"P3";"22683";"775";"1245";"1296";"399";"2,44";"2,49";"-"
"28";"P3";"23951";"1268";"1174";"1463";"420";"2,42";"2,58";"-"
"29";"P3";"25172";"1221";"798";"320";"477";"2,39";"2,63";"-"
"30";"P3";"26017";"845";"399";"413";"546";"0";"2,45";"-"
"31";"P3";"26440";"423";"1338";"756";"486";"2,39";"2,53";"-"
"32";"P3";"27802";"1362";"1033";"1055";"503";"2,42";"2,63";"-"
"33";"P3";"28859";"1057";"540";"1345";"494";"0";"2,58";"-"
"34";"P3";"29422";"564";"188";"525";"534";"2,39";"2,69";"-"
"35";"P3";"29633";"211";"728";"337";"547";"2,41";"2,58";"-"
"36";"P3";"30385";"751";"798";"726";"556";"2,36";"2,57";"-"
"37";"P3";"31207";"822";"751";"1106";"555";"2,39";"2,66";"-"
"38";"P3";"31982";"775";"1151";"1375";"546";"2,39";"2,6";"-"
"39";"P3";"33179";"1198";"892";"400";"621";"2,41";"2,58";"-"
"40";"P3";"34095";"916";"775";"664";"623";"2,36";"2,58";"-"
"41";"P3";"34893";"798";"1503";"1013";"621";"2,44";"2,53";"-"
"42";"P3";"36420";"1526";"1174";"1403";"611";"0";"2,45";"-"
"43";"P3";"37617";"1198";"164";"1488";"634";"2,26";"2,42";"-"
"44";"P3";"37805";"188";"188";"519";"710";"2,25";"2,55";"-"
"45";"P3";"38016";"211";"1198";"360";"699";"2,21";"2,47";"-"
"46";"P3";"39237";"1221";"376";"722";"728";"2,45";"2,42";"-"
"47";"P3";"39636";"399";"704";"958";"716";"0";"2,57";"-"
"48";"P3";"40364";"728";"517";"1280";"693";"0";"2,49";"-"
"49";"P3";"40904";"540";"540";"1430";"737";"0";"2,33";"-"
"50";"P3";"41491";"587";"1080";"398";"782";"2,12";"2,6";"-"
"51";"P3";"42595";"1104";"775";"688";"789";"2,31";"2,36";"-"
