"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P8";"0";"0";"305";"1069";"225";"3,05";"2,86";"-"
"2";"P8";"329";"329";"141";"504";"174";"3,3";"3,14";"-"
"3";"P8";"611";"282";"141";"204";"332";"0";"2,81";"-"
"4";"P8";"869";"258";"657";"287";"130";"0";"2,69";"-"
"5";"P8";"1550";"681";"446";"595";"180";"0";"3,05";"-"
"6";"P8";"2019";"470";"1198";"898";"168";"3,21";"2,95";"-"
"7";"P8";"3240";"1221";"1033";"1331";"133";"3,21";"2,9";"-"
"8";"P8";"4321";"1080";"258";"298";"171";"2,74";"2,53";"-"
"9";"P8";"4602";"282";"564";"301";"185";"0";"2,55";"-"
"10";"P8";"5189";"587";"611";"687";"222";"2,65";"2,44";"-"
"11";"P8";"5823";"634";"657";"939";"172";"2,87";"2,52";"-"
"12";"P8";"6504";"681";"399";"1252";"185";"2,55";"2,41";"-"
"13";"P8";"6927";"423";"470";"1375";"185";"2,49";"2,31";"-"
"14";"P8";"7444";"517";"963";"326";"275";"2,81";"2,74";"-"
"15";"P8";"8430";"986";"869";"457";"305";"3,16";"2,94";"-"
"16";"P8";"9322";"892";"1808";"903";"293";"3,19";"3,03";"-"
"17";"P8";"11154";"1832";"1127";"1197";"277";"2,82";"2,76";"-"
"18";"P8";"12304";"1151";"423";"1435";"269";"3,11";"2,82";"-"
"19";"P8";"12774";"470";"1503";"347";"352";"3,02";"2,9";"-"
"20";"P8";"14300";"1526";"611";"714";"365";"3,1";"2,87";"-"
"21";"P8";"14934";"634";"587";"1088";"338";"2,92";"2,66";"-"
"22";"P8";"15545";"611";"1080";"1431";"320";"2,66";"2,5";"-"
"23";"P8";"16742";"1198";"681";"323";"403";"2,29";"2,33";"-"
"24";"P8";"17447";"704";"611";"661";"459";"2,63";"2,57";"-"
"25";"P8";"18081";"634";"1385";"1010";"420";"2,57";"2,52";"-"
"26";"P8";"19489";"1409";"1033";"1359";"412";"3,19";"2,94";"-"
"27";"P8";"20546";"1057";"211";"1560";"397";"3,14";"2,76";"-"
"28";"P8";"20828";"282";"986";"335";"498";"3,06";"2,98";"-"
"29";"P8";"21838";"1010";"728";"732";"516";"3,08";"2,84";"-"
"30";"P8";"22589";"751";"916";"881";"512";"3,11";"2,84";"-"
"31";"P8";"23528";"939";"704";"1199";"480";"2,89";"2,73";"-"
"32";"P8";"24256";"728";"211";"1455";"450";"2,74";"2,53";"-"
"33";"P8";"24515";"258";"117";"374";"538";"2,86";"2,79";"-"
"34";"P8";"24655";"141";"681";"350";"571";"2,86";"2,79";"-"
"35";"P8";"25360";"704";"657";"672";"586";"3,08";"2,9";"-"
"36";"P8";"26041";"681";"916";"940";"573";"3,14";"3,03";"-"
"37";"P8";"26980";"939";"1315";"1319";"537";"2,94";"2,79";"-"
"38";"P8";"28318";"1338";"188";"1505";"531";"2,84";"2,61";"-"
"39";"P8";"28577";"258";"775";"344";"639";"2,94";"2,82";"-"
"40";"P8";"29375";"798";"1080";"752";"645";"2,9";"2,74";"-"
"41";"P8";"30479";"1104";"798";"1015";"649";"2,95";"2,79";"-"
"42";"P8";"31301";"822";"1104";"1410";"615";"3,11";"2,81";"-"
"43";"P8";"32451";"1151";"1127";"344";"717";"2,97";"2,81";"-"
"44";"P8";"33602";"1151";"611";"626";"743";"3,06";"2,97";"-"
"45";"P8";"34236";"634";"704";"956";"681";"3,26";"3,02";"-"
"46";"P8";"34964";"728";"587";"1297";"690";"2,81";"2,66";"-"
"47";"P8";"35598";"634";"2325";"358";"779";"2,71";"2,73";"-"
"48";"P8";"37946";"2348";"798";"752";"799";"3";"2,94";"-"
"49";"P8";"38768";"822";"751";"1169";"779";"3,06";"2,94";"-"
"50";"P8";"39543";"775";"329";"1380";"730";"2,98";"2,79";"-"
"1";"P10";"0";"0";"305";"626";"212";"2,74";"2,89";"-"
"2";"P10";"329";"329";"798";"315";"110";"2,82";"3,03";"-"
"3";"P10";"1151";"822";"352";"684";"150";"2,84";"3,14";"-"
"4";"P10";"1526";"376";"352";"898";"142";"2,94";"3,06";"-"
"5";"P10";"1902";"376";"329";"790";"133";"2,86";"3,03";"-"
"6";"P10";"2254";"352";"728";"1254";"124";"3,1";"0";"-"
"7";"P10";"3006";"751";"117";"1469";"97";"2,92";"3,06";"-"
"8";"P10";"3170";"164";"399";"329";"188";"3,05";"0";"-"
"9";"P10";"3593";"423";"517";"787";"205";"2,95";"3,16";"-"
"10";"P10";"4133";"540";"446";"1217";"182";"2,94";"2,82";"-"
"11";"P10";"4720";"587";"1174";"433";"271";"2,89";"0";"-"
"12";"P10";"5917";"1198";"399";"761";"288";"2,92";"3,03";"-"
"13";"P10";"6340";"423";"657";"1093";"270";"2,9";"3,02";"-"
"14";"P10";"7021";"681";"235";"1431";"248";"2,94";"3,14";"-"
"15";"P10";"7303";"282";"517";"423";"372";"2,97";"3,16";"-"
"16";"P10";"7843";"540";"423";"825";"349";"2,86";"3,02";"-"
"17";"P10";"8289";"446";"329";"1134";"332";"2,78";"2,84";"-"
"18";"P10";"8641";"352";"282";"1450";"334";"2,87";"2,9";"-"
"19";"P10";"8970";"329";"587";"346";"407";"2,92";"3,08";"-"
"20";"P10";"9580";"611";"704";"822";"428";"2,92";"3,18";"-"
"21";"P10";"10308";"728";"517";"1286";"412";"2,97";"3,08";"-"
"22";"P10";"10848";"540";"164";"1505";"385";"2,82";"2,86";"-"
"23";"P10";"11060";"211";"376";"344";"476";"3,02";"3,21";"-"
"24";"P10";"11459";"399";"564";"361";"483";"2,81";"3";"-"
"25";"P10";"12046";"587";"446";"720";"487";"2,87";"2,98";"-"
"26";"P10";"12516";"470";"470";"1031";"488";"2,69";"2,73";"-"
"27";"P10";"13009";"493";"258";"691";"502";"2,79";"2,74";"-"
"28";"P10";"13290";"282";"728";"1113";"482";"2,81";"2,89";"-"
"29";"P10";"14042";"751";"141";"1358";"477";"2,68";"2,61";"-"
"30";"P10";"14230";"188";"587";"369";"545";"2,5";"2,78";"-"
"31";"P10";"14840";"611";"611";"772";"563";"2,79";"2,79";"-"
"32";"P10";"15474";"634";"657";"1117";"564";"2,66";"2,92";"-"
"33";"P10";"16155";"681";"493";"1396";"559";"2,82";"2,79";"-"
"34";"P10";"16695";"540";"611";"356";"634";"2,81";"2,9";"-"
"35";"P10";"17329";"634";"1010";"766";"641";"2,65";"2,78";"-"
"36";"P10";"18362";"1033";"540";"1193";"632";"2,68";"2,74";"-"
"37";"P10";"18926";"564";"423";"1482";"602";"2,57";"2,6";"-"
"38";"P10";"19396";"470";"869";"363";"686";"2,69";"2,74";"-"
"39";"P10";"20288";"892";"399";"599";"717";"2,66";"2,87";"-"
"40";"P10";"20711";"423";"493";"926";"697";"2,68";"2,89";"-"
"41";"P10";"21227";"517";"587";"1317";"685";"2,68";"2,73";"-"
"42";"P10";"21861";"634";"1291";"357";"772";"2,65";"2,61";"-"
