"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P2";"117";"0";"1315";"270";"178";"3,05";"3,13";"-"
"2";"P2";"1456";"1338";"845";"541";"159";"3,05";"2,98";"-"
"3";"P2";"2325";"869";"728";"948";"172";"3,27";"3,3";"-"
"4";"P2";"3193";"869";"681";"1189";"184";"3,27";"3,11";"-"
"5";"P2";"3898";"704";"540";"1366";"166";"3,13";"3";"-"
"6";"P2";"4485";"587";"611";"332";"226";"3,32";"3,43";"-"
"7";"P2";"5119";"634";"939";"709";"254";"3,19";"3,3";"-"
"8";"P2";"6082";"963";"986";"1053";"255";"3,26";"3,22";"-"
"9";"P2";"7091";"1010";"892";"1297";"226";"3,06";"2,95";"-"
"10";"P2";"8031";"939";"1972";"333";"284";"3,24";"3,05";"-"
"11";"P2";"10027";"1996";"611";"736";"305";"3,03";"2,95";"-"
"12";"P2";"10661";"634";"869";"1028";"309";"3,16";"2,95";"-"
"13";"P2";"11553";"892";"775";"1367";"286";"3,13";"2,81";"-"
"14";"P2";"12375";"822";"376";"309";"350";"2,86";"2,98";"-"
"15";"P2";"12774";"399";"352";"267";"351";"2,63";"2,65";"-"
"16";"P2";"13267";"493";"657";"325";"425";"2,81";"2,55";"-"
"17";"P2";"13948";"681";"869";"399";"333";"2,74";"2,74";"-"
"18";"P2";"14840";"892";"634";"493";"354";"2,9";"2,94";"-"
"19";"P2";"15498";"657";"470";"801";"373";"2,97";"2,98";"-"
"20";"P2";"15991";"493";"540";"1102";"415";"2,9";"2,9";"-"
"21";"P2";"16554";"564";"963";"1375";"336";"2,94";"2,61";"-"
"22";"P2";"17564";"1010";"728";"354";"411";"2,76";"2,71";"-"
"23";"P2";"18315";"751";"775";"723";"449";"2,87";"2,89";"-"
"24";"P2";"19114";"798";"587";"1167";"450";"3,05";"2,84";"-"
"25";"P2";"19724";"611";"282";"1362";"442";"3,08";"2,78";"-"
"26";"P2";"20053";"329";"1033";"321";"493";"2,94";"2,97";"-"
"27";"P2";"21110";"1057";"986";"712";"518";"3,08";"2,87";"-"
"28";"P2";"22119";"1010";"1033";"1054";"525";"3,08";"2,82";"-"
"29";"P2";"23176";"1057";"235";"1309";"514";"3,08";"2,76";"-"
"30";"P2";"23505";"329";"1714";"364";"582";"2,97";"2,89";"-"
"31";"P2";"25242";"1738";"657";"712";"649";"3,05";"2,94";"-"
"32";"P2";"25923";"681";"423";"931";"593";"2,92";"2,82";"-"
"33";"P2";"26370";"446";"2395";"1264";"577";"2,78";"2,68";"-"
"34";"P2";"28788";"2419";"305";"1410";"575";"2,87";"2,76";"-"
"35";"P2";"29140";"352";"728";"305";"638";"2,84";"3";"-"
"36";"P2";"30009";"869";"1644";"633";"652";"2,65";"2,63";"-"
"37";"P2";"31676";"1667";"2278";"941";"657";"3";"0";"-"
"38";"P2";"33977";"2301";"587";"1280";"659";"2,87";"2,81";"-"
"39";"P2";"34588";"611";"282";"1452";"625";"2,74";"2,68";"-"
"40";"P2";"34917";"329";"493";"347";"685";"2,69";"0";"-"
"41";"P2";"35433";"517";"1503";"415";"713";"0";"2,81";"-"
