"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P7";"117";"0";"1409";"291";"130";"3,83";"3,79";"-"
"2";"P7";"1550";"1432";"916";"592";"92";"3,87";"3,72";"-"
"3";"P7";"2489";"939";"1033";"900";"94";"3,71";"3,63";"-"
"4";"P7";"3546";"1057";"258";"1177";"113";"3,93";"3,82";"-"
"5";"P7";"3945";"399";"188";"1260";"163";"3,96";"3,85";"-"
"6";"P7";"4156";"211";"352";"1101";"117";"3,9";"4,06";"-"
"7";"P7";"4532";"376";"775";"1450";"94";"4,01";"3,77";"-"
"8";"P7";"5377";"845";"751";"293";"168";"3,95";"4,11";"-"
"9";"P7";"6152";"775";"681";"651";"181";"4,09";"3,88";"-"
"10";"P7";"6857";"704";"517";"915";"194";"4,15";"3,96";"-"
"11";"P7";"7397";"540";"1198";"1283";"185";"4,12";"3,98";"-"
"12";"P7";"8618";"1221";"329";"1507";"175";"4,14";"4,06";"-"
"13";"P7";"8993";"376";"822";"355";"271";"4,19";"4,35";"-"
"14";"P7";"9839";"845";"869";"684";"270";"4,12";"4,17";"-"
"15";"P7";"10731";"892";"399";"852";"294";"4,17";"4,3";"-"
"16";"P7";"11154";"423";"916";"1162";"273";"4,24";"4,12";"-"
"17";"P7";"12093";"939";"963";"1352";"258";"3,96";"3,88";"-"
"18";"P7";"13079";"986";"657";"1607";"247";"3,9";"3,95";"-"
"19";"P7";"13784";"704";"141";"395";"335";"4,15";"4,12";"-"
"20";"P7";"13948";"164";"657";"347";"339";"3,99";"4,15";"-"
"21";"P7";"14629";"681";"1456";"708";"352";"4,04";"3,87";"-"
"22";"P7";"16108";"1479";"869";"1087";"345";"3,95";"3,83";"-"
"23";"P7";"17141";"1033";"399";"1063";"396";"3,72";"3,56";"-"
"24";"P7";"17564";"423";"1080";"1328";"332";"3,77";"3,63";"-"
"25";"P7";"18668";"1104";"1104";"1512";"340";"4,15";"3,95";"-"
"26";"P7";"19818";"1151";"141";"372";"422";"4,24";"4,46";"-"
"27";"P7";"19983";"164";"1174";"381";"425";"4,4";"4,36";"-"
"28";"P7";"21180";"1198";"1057";"695";"430";"3,98";"3,79";"-"
"29";"P7";"22260";"1080";"564";"1020";"425";"3,96";"3,82";"-"
"30";"P7";"22847";"587";"728";"1240";"420";"3,98";"3,69";"-"
"31";"P7";"23599";"751";"470";"1533";"391";"3,95";"3,77";"-"
"32";"P7";"24209";"611";"869";"373";"489";"3,95";"3,88";"-"
"33";"P7";"25102";"892";"587";"606";"499";"4,01";"3,82";"-"
"34";"P7";"25712";"611";"751";"421";"491";"3,87";"3,61";"-"
"35";"P7";"26487";"775";"869";"584";"492";"3,79";"3,69";"-"
"36";"P7";"27379";"892";"235";"833";"492";"3,87";"3,82";"-"
"37";"P7";"27755";"376";"517";"1014";"531";"3,83";"3,82";"-"
"38";"P7";"28295";"540";"423";"1209";"511";"3,82";"3,64";"-"
