"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P1a";"0";"0";"305";"688";"207";"3,87";"3,99";"-"
"2";"P1a";"329";"329";"1503";"295";"156";"3,63";"4,09";"-"
"3";"P1a";"1855";"1526";"657";"671";"143";"3,87";"4,11";"-"
"4";"P1a";"2536";"681";"1174";"864";"150";"3,8";"3,9";"-"
"5";"P1a";"3734";"1198";"211";"679";"168";"3,95";"4,2";"-"
"6";"P1a";"4062";"329";"258";"582";"152";"3,72";"4,04";"-"
"7";"P1a";"4344";"282";"916";"417";"112";"3,74";"4,25";"-"
"8";"P1a";"5283";"939";"587";"770";"155";"3,77";"3,98";"-"
"9";"P1a";"5894";"611";"329";"1042";"188";"3,95";"3,9";"-"
"10";"P1a";"6270";"376";"188";"1308";"176";"4,07";"3,85";"-"
"11";"P1a";"6481";"211";"211";"1339";"93";"3,85";"3,88";"-"
"12";"P1a";"6739";"258";"329";"248";"196";"3,66";"4,24";"-"
"13";"P1a";"7185";"446";"376";"446";"198";"3,55";"3,8";"-"
"14";"P1a";"7584";"399";"587";"793";"239";"3,66";"3,99";"-"
"15";"P1a";"8195";"611";"517";"1082";"226";"3,88";"3,91";"-"
"16";"P1a";"8735";"540";"775";"1379";"203";"3,96";"3,85";"-"
"17";"P1a";"9580";"845";"470";"282";"241";"3,8";"4,33";"-"
"18";"P1a";"10167";"587";"258";"354";"380";"3,51";"3,93";"-"
"19";"P1a";"10449";"282";"188";"586";"320";"3,74";"3,98";"-"
"20";"P1a";"10754";"305";"470";"825";"393";"3,63";"3,83";"-"
"21";"P1a";"11248";"493";"587";"889";"326";"3,66";"3,66";"-"
"22";"P1a";"11952";"704";"211";"989";"395";"3,8";"4,09";"-"
"23";"P1a";"12187";"235";"540";"1091";"316";"3,75";"3,98";"-"
"24";"P1a";"12844";"657";"657";"1420";"340";"3,91";"4,07";"-"
"25";"P1a";"13549";"704";"141";"321";"352";"3,69";"4,3";"-"
"26";"P1a";"13713";"164";"352";"269";"334";"3,5";"4,09";"-"
"27";"P1a";"14183";"470";"329";"570";"443";"3,67";"0";"-"
"28";"P1a";"14535";"352";"1667";"957";"389";"3,64";"3,75";"-"
"29";"P1a";"16226";"1691";"564";"1365";"377";"3,64";"3,8";"-"
"30";"P1a";"16836";"611";"822";"319";"427";"3,59";"4,17";"-"
"31";"P1a";"17681";"845";"1198";"571";"439";"3,51";"3,8";"-"
"32";"P1a";"18902";"1221";"916";"738";"477";"3,56";"3,85";"-"
"33";"P1a";"19959";"1057";"963";"1094";"469";"3,64";"0";"-"
"34";"P1a";"20945";"986";"282";"1293";"431";"3,5";"3,61";"-"
"35";"P1a";"21274";"329";"517";"303";"473";"3,51";"4,07";"-"
"36";"P1a";"21814";"540";"798";"722";"507";"3,55";"3,8";"-"
"37";"P1a";"22636";"822";"939";"964";"496";"3,56";"3,74";"-"
"38";"P1a";"23599";"963";"634";"1358";"473";"3,71";"3,69";"-"
"39";"P1a";"24280";"681";"540";"260";"535";"3,45";"4,01";"-"
"40";"P1a";"25148";"869";"634";"504";"538";"3,72";"3,93";"-"
"41";"P1a";"25806";"657";"587";"847";"570";"3,51";"3,8";"-"
"42";"P1a";"26416";"611";"939";"1284";"537";"3,51";"3,63";"-"
"43";"P1a";"27403";"986";"305";"1408";"582";"3,99";"3,69";"-"
"44";"P1a";"27755";"352";"611";"345";"612";"3,61";"4,15";"-"
"45";"P1a";"28389";"634";"751";"727";"628";"3,42";"3,74";"-"
"46";"P1a";"29164";"775";"1503";"1020";"602";"3,46";"3,8";"-"
"47";"P1a";"30690";"1526";"704";"1285";"619";"3,61";"3,56";"-"
"48";"P1a";"31441";"751";"634";"260";"750";"3,29";"4,03";"-"
"49";"P1a";"32122";"681";"399";"261";"666";"3,51";"3,51";"-"
"50";"P1a";"32545";"423";"493";"533";"611";"3,32";"3,61";"-"
"51";"P1a";"33062";"517";"235";"557";"689";"3,32";"3,67";"-"
"52";"P1a";"33320";"258";"1620";"770";"672";"3,46";"3,64";"-"
"53";"P1a";"34964";"1644";"587";"1083";"700";"3,74";"3,96";"-"
"54";"P1a";"35574";"611";"164";"1354";"689";"3,67";"3,69";"-"
"55";"P1a";"35786";"211";"681";"319";"746";"3,69";"4,04";"-"
"56";"P1a";"36560";"775";"446";"471";"733";"3,67";"0";"-"
"57";"P1a";"37030";"470";"470";"830";"720";"3,45";"3,72";"-"
"58";"P1a";"37523";"493";"611";"1163";"770";"3,43";"3,46";"-"
"59";"P1a";"38157";"634";"164";"1403";"772";"3,58";"3,46";"-"
"60";"P1a";"38368";"211";"939";"398";"843";"3,63";"4,12";"-"
"61";"P1a";"39331";"963";"211";"603";"765";"3,46";"3,74";"-"
"1";"P2";"0";"0";"282";"594";"174";"2,86";"2,9";"-"
"2";"P2";"305";"305";"1925";"339";"119";"2,76";"2,9";"-"
"3";"P2";"2254";"1949";"1221";"668";"165";"3,21";"3,24";"-"
"4";"P2";"3499";"1245";"892";"1050";"162";"3,4";"3,21";"-"
"5";"P2";"4414";"916";"446";"1312";"147";"3,11";"2,94";"-"
"6";"P2";"4908";"493";"564";"334";"202";"2,95";"3,06";"-"
"7";"P2";"5495";"587";"892";"417";"222";"2,94";"2,95";"-"
"8";"P2";"6410";"916";"1057";"901";"233";"2,94";"3,02";"-"
"9";"P2";"7491";"1080";"681";"1265";"240";"3,18";"2,94";"-"
"10";"P2";"8195";"704";"423";"696";"242";"3,26";"3,22";"-"
"11";"P2";"8641";"446";"775";"1149";"229";"3,1";"2,94";"-"
"12";"P2";"9439";"798";"352";"1490";"207";"3,05";"2,76";"-"
"13";"P2";"9862";"423";"329";"288";"273";"2,87";"2,94";"-"
"14";"P2";"10238";"376";"634";"1427";"209";"2,94";"2,74";"-"
"15";"P2";"10919";"681";"1385";"331";"280";"2,89";"2,97";"-"
"16";"P2";"12328";"1409";"869";"670";"293";"2,84";"2,9";"-"
"17";"P2";"13220";"892";"704";"1076";"309";"3,03";"2,87";"-"
"18";"P2";"13948";"728";"564";"1451";"344";"2,98";"2,78";"-"
"19";"P2";"14558";"611";"728";"324";"353";"2,89";"3,08";"-"
"20";"P2";"15310";"751";"517";"669";"348";"2,76";"2,97";"-"
"21";"P2";"15850";"540";"1174";"1091";"357";"2,71";"2,61";"-"
"22";"P2";"17047";"1198";"681";"1360";"360";"2,86";"2,65";"-"
"23";"P2";"17775";"728";"939";"341";"426";"2,89";"3,08";"-"
"24";"P2";"18738";"963";"822";"695";"441";"2,76";"2,74";"-"
"25";"P2";"19583";"845";"1174";"1005";"427";"2,71";"0";"-"
"26";"P2";"20781";"1198";"305";"1306";"416";"2,79";"2,52";"-"
"27";"P2";"21133";"352";"517";"340";"488";"2,65";"2,76";"-"
"28";"P2";"21673";"540";"916";"809";"504";"2,65";"2,74";"-"
"29";"P2";"22613";"939";"728";"1062";"530";"2,98";"0";"-"
"30";"P2";"23364";"751";"611";"1366";"497";"2,9";"2,78";"-"
"31";"P2";"24021";"657";"916";"400";"560";"2,79";"2,94";"-"
"32";"P2";"24961";"939";"775";"664";"582";"2,73";"2,76";"-"
"33";"P2";"25759";"798";"611";"1030";"585";"2,79";"0";"-"
"34";"P2";"26393";"634";"916";"1236";"571";"2,61";"2,42";"-"
"35";"P2";"27356";"963";"845";"341";"612";"2,61";"2,63";"-"
"36";"P2";"28225";"869";"704";"490";"636";"2,89";"2,92";"-"
"37";"P2";"28952";"728";"751";"820";"663";"3,02";"0";"-"
"38";"P2";"29727";"775";"1245";"1110";"660";"2,74";"2,65";"-"
"39";"P2";"30995";"1268";"1338";"1310";"640";"2,76";"2,47";"-"
"40";"P2";"32381";"1385";"1010";"351";"686";"2,58";"2,66";"-"
