"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P1a";"0";"0";"0";"612";"174";"3,42";"3,69";"-"
"2";"P1a";"23";"23";"23";"620";"166";"3,45";"3,72";"-"
"3";"P1a";"47";"23";"23";"615";"174";"3,43";"3,79";"-"
"4";"P1a";"70";"23";"23";"600";"176";"3,48";"3,83";"-"
"5";"P1a";"94";"23";"23";"342";"155";"3,46";"3,88";"-"
"6";"P1a";"117";"23";"23";"271";"152";"3,35";"3,72";"-"
"7";"P1a";"141";"23";"23";"265";"156";"3,35";"3,8";"-"
"8";"P1a";"164";"23";"23";"273";"149";"3,43";"3,75";"-"
"9";"P1a";"188";"23";"23";"277";"148";"3,29";"3,75";"-"
"10";"P1a";"211";"23";"23";"278";"149";"3,35";"3,77";"-"
"11";"P1a";"235";"23";"23";"276";"146";"3,35";"3,8";"-"
"12";"P1a";"258";"23";"23";"264";"161";"3,37";"3,85";"-"
"13";"P1a";"282";"23";"23";"274";"156";"3,35";"3,8";"-"
"14";"P1a";"305";"23";"23";"265";"134";"3,37";"3,79";"-"
"15";"P1a";"329";"23";"23";"275";"166";"3,43";"3,83";"-"
"16";"P1a";"352";"23";"23";"272";"173";"3,34";"3,87";"-"
"17";"P1a";"376";"23";"23";"275";"194";"3,42";"3,83";"-"
"18";"P1a";"399";"23";"23";"270";"225";"3,48";"3,93";"-"
"19";"P1a";"423";"23";"23";"267";"174";"3,51";"3,91";"-"
"20";"P1a";"446";"23";"23";"276";"207";"3,43";"3,85";"-"
"21";"P1a";"470";"23";"23";"275";"205";"3,45";"3,83";"-"
"22";"P1a";"493";"23";"23";"267";"200";"3,42";"3,72";"-"
"23";"P1a";"517";"23";"23";"264";"143";"3,32";"3,72";"-"
"24";"P1a";"540";"23";"23";"272";"203";"3,34";"3,72";"-"
"25";"P1a";"564";"23";"23";"267";"189";"3,35";"3,56";"-"
"26";"P1a";"587";"23";"23";"270";"200";"3,24";"3,67";"-"
"27";"P1a";"611";"23";"23";"279";"166";"3,34";"3,63";"-"
"28";"P1a";"634";"23";"23";"291";"114";"3,22";"3,71";"-"
"29";"P1a";"657";"23";"23";"280";"142";"3,21";"3,53";"-"
"30";"P1a";"681";"23";"23";"278";"107";"3,19";"3,58";"-"
"31";"P1a";"704";"23";"23";"273";"118";"3,22";"3,66";"-"
"32";"P1a";"728";"23";"23";"277";"157";"3,18";"3,53";"-"
"33";"P1a";"751";"23";"23";"281";"143";"3,22";"3,58";"-"
"34";"P1a";"775";"23";"23";"335";"102";"3,26";"3,61";"-"
