"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P8";"0";"0";"0";"1071";"226";"3,05";"2,86";"-"
"2";"P8";"23";"23";"23";"1076";"216";"3,05";"2,89";"-"
"3";"P8";"47";"23";"23";"1074";"213";"3,08";"2,92";"-"
"4";"P8";"70";"23";"23";"1074";"222";"3,08";"2,9";"-"
"5";"P8";"94";"23";"23";"1073";"226";"3,06";"2,95";"-"
"6";"P8";"117";"23";"23";"1061";"231";"3,13";"2,94";"-"
"7";"P8";"141";"23";"23";"1067";"248";"3,13";"2,94";"-"
"8";"P8";"164";"23";"23";"1069";"212";"3,1";"2,9";"-"
"9";"P8";"188";"23";"23";"1068";"201";"3,08";"3,05";"-"
"10";"P8";"211";"23";"23";"1067";"239";"3,16";"3,06";"-"
"11";"P8";"235";"23";"23";"1077";"221";"3,14";"3,02";"-"
"12";"P8";"258";"23";"23";"1076";"239";"3,19";"3";"-"
"13";"P8";"282";"23";"23";"1060";"218";"3,21";"3,03";"-"
"14";"P8";"305";"23";"23";"1065";"234";"3,32";"3,11";"-"
"15";"P8";"329";"23";"23";"660";"177";"3,3";"3,14";"-"
"16";"P8";"352";"23";"23";"481";"197";"3,21";"3,24";"-"
"17";"P8";"376";"23";"23";"485";"184";"3,21";"3,18";"-"
"18";"P8";"399";"23";"23";"490";"193";"3,3";"3,16";"-"
"19";"P8";"423";"23";"23";"481";"178";"3,32";"3,13";"-"
"20";"P8";"446";"23";"23";"495";"155";"3,21";"3,13";"-"
"21";"P8";"470";"23";"23";"367";"157";"3,27";"3,08";"-"
"22";"P8";"493";"23";"23";"207";"124";"3,08";"3";"-"
"23";"P8";"517";"23";"23";"203";"126";"3,06";"2,98";"-"
"24";"P8";"540";"23";"23";"204";"96";"2,95";"2,95";"-"
"25";"P8";"564";"23";"23";"204";"96";"3";"2,92";"-"
"26";"P8";"587";"23";"23";"217";"123";"2,95";"2,81";"-"
"27";"P8";"611";"23";"23";"185";"492";"0";"2,81";"-"
"28";"P8";"657";"47";"47";"209";"442";"0";"2,81";"-"
"29";"P8";"681";"23";"23";"216";"231";"0";"2,81";"-"
"30";"P8";"704";"23";"23";"210";"129";"0";"2,78";"-"
"31";"P8";"728";"23";"23";"213";"145";"0";"2,74";"-"
"32";"P8";"751";"23";"23";"200";"270";"0";"2,79";"-"
"33";"P8";"869";"117";"117";"254";"185";"0";"2,69";"-"
"34";"P8";"892";"23";"23";"244";"120";"0";"2,69";"-"
"35";"P8";"939";"47";"47";"163";"88";"3,37";"2,76";"-"
"36";"P8";"963";"23";"23";"246";"97";"2,82";"2,69";"-"
"37";"P8";"986";"23";"23";"241";"81";"2,9";"2,69";"-"
"38";"P8";"1010";"23";"23";"252";"94";"2,92";"2,79";"-"
"39";"P8";"1033";"23";"23";"251";"93";"2,92";"2,79";"-"
"40";"P8";"1057";"23";"23";"243";"109";"2,94";"2,89";"-"
"41";"P8";"1080";"23";"23";"241";"117";"3";"2,87";"-"
"42";"P8";"1104";"23";"23";"240";"112";"3";"2,81";"-"
"43";"P8";"1127";"23";"23";"247";"112";"2,97";"2,82";"-"
"44";"P8";"1151";"23";"23";"238";"116";"3,05";"2,92";"-"
"45";"P8";"1174";"23";"23";"255";"121";"3,03";"2,92";"-"
"46";"P8";"1198";"23";"23";"238";"93";"3,02";"2,97";"-"
"47";"P8";"1221";"23";"23";"235";"112";"3,06";"2,95";"-"
"48";"P8";"1245";"23";"23";"316";"135";"3,08";"2,94";"-"
"49";"P8";"1268";"23";"23";"379";"113";"3,08";"2,98";"-"
"50";"P8";"1291";"23";"23";"389";"112";"3,08";"3,02";"-"
"51";"P8";"1315";"23";"23";"396";"152";"3,11";"2,92";"-"
"52";"P8";"1338";"23";"23";"395";"128";"3,08";"2,94";"-"
"53";"P8";"1362";"23";"23";"377";"127";"3,08";"2,92";"-"
"54";"P8";"1385";"23";"23";"383";"137";"3,18";"2,92";"-"
"55";"P8";"1409";"23";"23";"380";"122";"3,13";"2,9";"-"
"56";"P8";"1432";"23";"23";"387";"147";"3,16";"2,95";"-"
"57";"P8";"1456";"23";"23";"380";"123";"3,14";"2,95";"-"
"58";"P8";"1479";"23";"23";"387";"157";"3,18";"3,05";"-"
"59";"P8";"1503";"23";"23";"389";"161";"3,19";"3";"-"
"60";"P8";"1526";"23";"23";"386";"140";"3,18";"3,02";"-"
"61";"P8";"1550";"23";"23";"520";"203";"0";"3,05";"-"
"62";"P8";"1573";"23";"23";"513";"144";"3,27";"3,06";"-"
"63";"P8";"1597";"23";"23";"509";"152";"3,3";"3,13";"-"
"64";"P8";"1620";"23";"23";"517";"164";"3,27";"3,13";"-"
"65";"P8";"1644";"23";"23";"514";"165";"3,29";"3,06";"-"
"66";"P8";"1667";"23";"23";"531";"179";"3,29";"3,1";"-"
"67";"P8";"1691";"23";"23";"531";"181";"3,3";"3,08";"-"
"68";"P8";"1714";"23";"23";"525";"178";"3,34";"3,1";"-"
"69";"P8";"1738";"23";"23";"514";"164";"3,29";"3,19";"-"
"70";"P8";"1761";"23";"23";"669";"201";"3,38";"3,16";"-"
"71";"P8";"1785";"23";"23";"641";"182";"3,32";"3,08";"-"
"72";"P8";"1808";"23";"23";"665";"203";"3,35";"3,11";"-"
"73";"P8";"1832";"23";"23";"656";"185";"3,29";"3,06";"-"
"74";"P8";"1855";"23";"23";"667";"189";"3,32";"3,06";"-"
"75";"P8";"1879";"23";"23";"657";"193";"3,34";"3,1";"-"
"76";"P8";"1902";"23";"23";"659";"175";"3,3";"3,16";"-"
"77";"P8";"1925";"23";"23";"657";"185";"3,22";"3,14";"-"
"78";"P8";"1949";"23";"23";"654";"176";"3,29";"3,05";"-"
"79";"P8";"1972";"23";"23";"663";"177";"3,21";"3,06";"-"
"80";"P8";"1996";"23";"23";"737";"187";"3,22";"3,1";"-"
"81";"P8";"2019";"23";"23";"892";"141";"3,21";"2,95";"-"
"82";"P8";"2043";"23";"23";"893";"169";"3,26";"2,95";"-"
"83";"P8";"2066";"23";"23";"891";"146";"3,22";"2,94";"-"
"84";"P8";"2090";"23";"23";"889";"166";"3,18";"2,97";"-"
"85";"P8";"2113";"23";"23";"880";"161";"3,22";"2,9";"-"
"86";"P8";"2137";"23";"23";"893";"161";"3,14";"3,02";"-"
"87";"P8";"2160";"23";"23";"876";"168";"3,26";"2,94";"-"
"88";"P8";"2184";"23";"23";"873";"173";"3,24";"2,9";"-"
"89";"P8";"2207";"23";"23";"888";"155";"3,18";"2,95";"-"
"90";"P8";"2231";"23";"23";"887";"135";"3,16";"2,95";"-"
"91";"P8";"2254";"23";"23";"881";"156";"3,18";"2,94";"-"
"92";"P8";"2278";"23";"23";"889";"160";"3,22";"2,94";"-"
"93";"P8";"2301";"23";"23";"879";"169";"3,21";"3,03";"-"
"94";"P8";"2325";"23";"23";"882";"172";"3,21";"3";"-"
"95";"P8";"2348";"23";"23";"875";"187";"3,3";"3,05";"-"
"96";"P8";"2372";"23";"23";"841";"163";"3,24";"3,06";"-"
"97";"P8";"2395";"23";"23";"857";"152";"3,3";"3,08";"-"
"98";"P8";"2419";"23";"23";"863";"170";"3,34";"3,13";"-"
"99";"P8";"2442";"23";"23";"865";"172";"3,34";"3,1";"-"
"100";"P8";"2466";"23";"23";"855";"163";"3,34";"3,19";"-"
"101";"P8";"2489";"23";"23";"861";"191";"3,37";"3,14";"-"
