"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P1a";"0";"0";"305";"630";"229";"3,5";"3,98";"-"
"2";"P1a";"329";"329";"1573";"323";"129";"3,45";"4,03";"-"
"3";"P1a";"1925";"1597";"657";"634";"117";"3,75";"4,15";"-"
"4";"P1a";"2606";"681";"634";"978";"126";"3,9";"4,17";"-"
"5";"P1a";"3264";"657";"493";"1311";"112";"3,9";"4,09";"-"
"6";"P1a";"3921";"657";"540";"282";"163";"3,59";"0";"-"
"7";"P1a";"4485";"564";"352";"596";"212";"3,85";"4,09";"-"
"8";"P1a";"4861";"376";"282";"883";"239";"3,9";"3,95";"-"
"9";"P1a";"5260";"399";"587";"1223";"241";"3,77";"3,82";"-"
"10";"P1a";"5917";"657";"540";"258";"245";"3,64";"4,2";"-"
"11";"P1a";"6481";"564";"258";"280";"379";"3,61";"3,85";"-"
"12";"P1a";"6763";"282";"352";"265";"280";"3,58";"4,14";"-"
"13";"P1a";"7162";"399";"352";"1314";"211";"4,06";"3,99";"-"
"14";"P1a";"7561";"399";"1245";"293";"264";"3,83";"4,48";"-"
"15";"P1a";"8829";"1268";"540";"689";"320";"3,77";"4,24";"-"
"16";"P1a";"9393";"564";"611";"991";"319";"4,04";"4,22";"-"
"17";"P1a";"10027";"634";"470";"1331";"280";"3,91";"4,06";"-"
"18";"P1a";"10520";"493";"141";"1440";"287";"3,72";"3,82";"-"
"19";"P1a";"10707";"188";"1268";"291";"353";"3,71";"4,4";"-"
"20";"P1a";"11999";"1291";"845";"696";"393";"3,71";"4,07";"-"
"21";"P1a";"12868";"869";"399";"1114";"419";"3,74";"3,9";"-"
"22";"P1a";"13314";"446";"2254";"1357";"364";"3,88";"3,66";"-"
"23";"P1a";"15592";"2278";"211";"1455";"366";"4,19";"3,85";"-"
"24";"P1a";"15850";"258";"352";"276";"404";"3,83";"4,38";"-"
