"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P5";"0";"0";"305";"761";"259";"3";"3,11";"-"
"2";"P5";"329";"329";"1245";"302";"103";"2,89";"3,27";"-"
"3";"P5";"1597";"1268";"493";"647";"135";"2,98";"3,13";"-"
"4";"P5";"2113";"517";"540";"1023";"120";"3,02";"2,94";"-"
"5";"P5";"2677";"564";"258";"1444";"114";"2,82";"2,82";"-"
"6";"P5";"3146";"470";"211";"249";"125";"2,68";"0";"-"
"7";"P5";"3381";"235";"423";"622";"205";"2,89";"0";"-"
"8";"P5";"3827";"446";"446";"994";"197";"3,08";"3,18";"-"
"9";"P5";"4297";"470";"611";"1369";"169";"2,84";"2,98";"-"
"10";"P5";"4955";"657";"117";"573";"243";"2,81";"0";"-"
"11";"P5";"5095";"141";"916";"364";"261";"2,81";"0";"-"
"12";"P5";"6035";"939";"517";"663";"279";"3,08";"3,24";"-"
"13";"P5";"6575";"540";"352";"1022";"259";"3,06";"3,14";"-"
"14";"P5";"6950";"376";"517";"1422";"237";"2,82";"2,95";"-"
"15";"P5";"7538";"587";"892";"339";"327";"2,82";"3,26";"-"
"16";"P5";"8453";"916";"117";"675";"443";"3,3";"3,38";"-"
"17";"P5";"8735";"282";"329";"975";"393";"3,08";"0";"-"
"18";"P5";"9087";"352";"446";"1292";"336";"3,32";"3,3";"-"
"19";"P5";"9557";"470";"211";"1509";"330";"3,27";"3,35";"-"
"20";"P5";"9815";"258";"117";"565";"371";"3,18";"3,51";"-"
"21";"P5";"9956";"141";"517";"368";"410";"3,08";"3,5";"-"
"22";"P5";"10496";"540";"611";"762";"413";"3";"3,38";"-"
"23";"P5";"11130";"634";"423";"1240";"401";"3,13";"3,26";"-"
"24";"P5";"11576";"446";"282";"1529";"388";"3,06";"3,19";"-"
"25";"P5";"11905";"329";"117";"449";"463";"3,13";"3,27";"-"
