"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P3";"0";"0";"329";"624";"161";"2,34";"2,49";"-"
"2";"P3";"352";"352";"798";"278";"76";"2,42";"2,71";"-"
"3";"P3";"1174";"822";"916";"609";"81";"0";"2,37";"-"
"4";"P3";"2113";"939";"798";"898";"83";"0";"2,61";"-"
"5";"P3";"3311";"1198";"329";"1322";"44";"0";"2,42";"-"
"6";"P3";"4039";"728";"1315";"354";"174";"0";"2,47";"-"
"7";"P3";"5377";"1338";"587";"691";"191";"0";"2,52";"-"
"8";"P3";"5988";"611";"798";"1027";"149";"0";"2,49";"-"
"9";"P3";"6880";"892";"1057";"1436";"149";"2,33";"0";"-"
"10";"P3";"8007";"1127";"611";"312";"240";"0";"2,47";"-"
"11";"P3";"8641";"634";"1104";"579";"242";"0";"2,44";"-"
"12";"P3";"9768";"1127";"1268";"839";"235";"0";"2,66";"-"
"13";"P3";"11060";"1291";"1198";"1265";"200";"2,31";"2,42";"-"
"14";"P3";"12281";"1221";"704";"1557";"206";"0";"2,34";"-"
"15";"P3";"13056";"775";"1550";"325";"307";"0";"2,45";"-"
"16";"P3";"14629";"1573";"634";"615";"317";"2,21";"2,39";"-"
"17";"P3";"15286";"657";"564";"877";"296";"2,1";"0";"-"
"18";"P3";"15873";"587";"470";"1070";"355";"0";"2,17";"-"
"19";"P3";"16366";"493";"775";"1416";"311";"2,15";"0";"-"
"20";"P3";"17165";"798";"376";"1575";"275";"2,21";"2,2";"-"
"21";"P3";"17611";"446";"399";"348";"397";"2,21";"0";"-"
"22";"P3";"18034";"423";"517";"283";"376";"0";"2,28";"-"
"23";"P3";"18715";"681";"305";"531";"410";"0";"2,34";"-"
"24";"P3";"19090";"376";"657";"855";"387";"2,21";"0";"-"
"25";"P3";"19795";"704";"798";"1282";"348";"0";"2,23";"-"
"26";"P3";"20640";"845";"211";"723";"417";"2,28";"0";"-"
"27";"P3";"20875";"235";"845";"357";"443";"2,31";"2,37";"-"
"28";"P3";"21744";"869";"446";"705";"459";"2,13";"2,36";"-"
"29";"P3";"22213";"470";"564";"1117";"444";"2,29";"2,37";"-"
"30";"P3";"22800";"587";"845";"1438";"445";"2,23";"2,39";"-"
"31";"P3";"23693";"892";"869";"328";"514";"2,13";"0";"-"
"32";"P3";"24585";"892";"1010";"658";"524";"2,15";"2,34";"-"
"33";"P3";"25618";"1033";"517";"989";"531";"2,39";"0";"-"
"34";"P3";"26158";"540";"1033";"1252";"520";"2,21";"0";"-"
"35";"P3";"27215";"1057";"329";"1454";"503";"0";"2,44";"-"
"36";"P3";"27591";"376";"869";"335";"608";"2,2";"2,28";"-"
"37";"P3";"28530";"939";"564";"703";"602";"2,18";"2,29";"-"
"38";"P3";"29117";"587";"657";"1024";"606";"2,21";"2,34";"-"
"39";"P3";"29798";"681";"1010";"1444";"589";"2,37";"0";"-"
"40";"P3";"30854";"1057";"751";"480";"682";"0";"2,44";"-"
"41";"P3";"31629";"775";"611";"838";"681";"2,13";"0";"-"
"42";"P3";"32287";"657";"587";"1370";"660";"0";"2,2";"-"
"43";"P3";"32921";"634";"141";"1525";"655";"2,09";"0";"-"
"44";"P3";"33132";"211";"423";"366";"752";"2,05";"2,28";"-"
"45";"P3";"33578";"446";"329";"652";"779";"2,21";"0";"-"
"46";"P3";"34024";"446";"869";"1088";"765";"0";"2,31";"-"
"47";"P3";"34964";"939";"235";"1106";"438";"0";"2,25";"-"
"1";"P9a";"0";"0";"117";"758";"222";"3,53";"3,11";"-"
"2";"P9a";"211";"211";"141";"243";"257";"3,29";"3,08";"-"
"3";"P9a";"493";"282";"399";"290";"217";"3,38";"3,08";"-"
"4";"P9a";"916";"423";"399";"456";"117";"3,61";"3,18";"-"
"5";"P9a";"1456";"540";"211";"713";"206";"3,79";"3,18";"-"
"6";"P9a";"1691";"235";"798";"853";"123";"3,72";"3,18";"-"
