"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P8";"0";"0";"305";"747";"179";"2,86";"2,68";"-"
"2";"P8";"329";"329";"634";"272";"119";"2,95";"3";"-"
"3";"P8";"1033";"704";"188";"365";"170";"0";"2,76";"-"
"4";"P8";"1245";"211";"1033";"503";"147";"2,95";"2,84";"-"
"5";"P8";"2301";"1057";"939";"835";"175";"3,21";"3,11";"-"
"6";"P8";"3264";"963";"446";"1140";"157";"3,38";"3,08";"-"
"7";"P8";"3734";"470";"352";"1345";"131";"3,08";"2,87";"-"
"8";"P8";"4133";"399";"681";"260";"184";"2,92";"2,82";"-"
"9";"P8";"4837";"704";"1104";"531";"231";"0";"3,03";"-"
"10";"P8";"5964";"1127";"1080";"990";"247";"3,18";"3,05";"-"
"11";"P8";"7068";"1104";"704";"1324";"222";"3,26";"3";"-"
"12";"P8";"7819";"751";"1198";"331";"271";"3,26";"3,16";"-"
"13";"P8";"9040";"1221";"117";"431";"313";"0";"2,82";"-"
"14";"P8";"9181";"141";"164";"486";"438";"0";"2,79";"-"
"15";"P8";"9369";"188";"282";"592";"279";"3,16";"2,97";"-"
"16";"P8";"9674";"305";"1033";"940";"306";"3,22";"3,02";"-"
"17";"P8";"10731";"1057";"681";"1249";"324";"3,32";"3,18";"-"
"18";"P8";"11576";"845";"704";"1388";"286";"0";"3,03";"-"
"19";"P8";"12328";"751";"1526";"351";"357";"3,16";"3,24";"-"
"20";"P8";"13877";"1550";"634";"696";"395";"3,43";"3,42";"-"
"21";"P8";"14535";"657";"986";"1096";"367";"3,24";"3,11";"-"
"22";"P8";"15545";"1010";"634";"1372";"332";"2,89";"2,73";"-"
"23";"P8";"16226";"681";"164";"419";"425";"3,08";"2,95";"-"
"24";"P8";"16413";"188";"751";"378";"416";"2,89";"2,89";"-"
"25";"P8";"17188";"775";"1245";"592";"416";"2,94";"2,81";"-"
"26";"P8";"18456";"1268";"986";"1056";"434";"3,05";"2,82";"-"
"27";"P8";"19466";"1010";"517";"1386";"423";"3,08";"2,92";"-"
"28";"P8";"20030";"564";"493";"348";"496";"3,03";"3";"-"
"29";"P8";"20687";"657";"446";"584";"499";"0";"2,9";"-"
"30";"P8";"21157";"470";"657";"875";"522";"3,3";"3,06";"-"
"31";"P8";"21838";"681";"611";"1229";"503";"3,32";"3,05";"-"
"32";"P8";"22472";"634";"376";"1484";"482";"3,21";"2,97";"-"
"33";"P8";"22918";"446";"775";"364";"573";"3,18";"3,08";"-"
"34";"P8";"23716";"798";"728";"516";"574";"3,16";"2,98";"-"
