"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P3";"117";"0";"352";"303";"123";"2,47";"2,63";"-"
"2";"P3";"493";"376";"117";"370";"256";"0";"2,39";"-"
"3";"P3";"634";"141";"1127";"305";"101";"0";"2,39";"-"
"4";"P3";"1855";"1221";"211";"400";"220";"0";"2,44";"-"
"5";"P3";"2090";"235";"1667";"478";"117";"2,45";"2,6";"-"
"6";"P3";"3780";"1691";"1479";"784";"107";"2,42";"2,63";"-"
"7";"P3";"5283";"1503";"1550";"1150";"95";"2,31";"2,47";"-"
"8";"P3";"6857";"1573";"446";"1423";"89";"2,49";"2,66";"-"
"9";"P3";"7350";"493";"1432";"352";"176";"2,36";"2,68";"-"
"10";"P3";"8805";"1456";"399";"541";"247";"2,29";"2,36";"-"
"11";"P3";"9228";"423";"1127";"773";"178";"2,33";"2,55";"-"
"12";"P3";"10379";"1151";"1057";"1133";"173";"2,29";"2,39";"-"
"13";"P3";"11459";"1080";"1080";"1305";"167";"2,45";"2,53";"-"
"14";"P3";"12586";"1127";"1245";"309";"243";"2,26";"2,42";"-"
"15";"P3";"13854";"1268";"822";"634";"244";"2,25";"2,44";"-"
"16";"P3";"14699";"845";"1291";"956";"222";"2,33";"2,41";"-"
"17";"P3";"16014";"1315";"1550";"1266";"232";"2,2";"2,37";"-"
"18";"P3";"17588";"1573";"1010";"1430";"242";"2,36";"2,57";"-"
"19";"P3";"18644";"1057";"634";"315";"323";"2,36";"2,49";"-"
"20";"P3";"19302";"657";"352";"304";"376";"0";"2,31";"-"
"21";"P3";"19677";"376";"751";"443";"337";"2,18";"2,42";"-"
"22";"P3";"20452";"775";"892";"781";"324";"2,26";"2,45";"-"
"23";"P3";"21415";"963";"775";"1121";"366";"0";"2,44";"-"
"24";"P3";"22213";"798";"1503";"1385";"307";"2,37";"2,47";"-"
"25";"P3";"23740";"1526";"282";"1019";"390";"2,44";"2,6";"-"
"26";"P3";"24045";"305";"211";"411";"403";"2,6";"2,68";"-"
"27";"P3";"24280";"235";"822";"352";"402";"2,5";"2,47";"-"
"28";"P3";"25125";"845";"1691";"783";"401";"2,45";"2,68";"-"
"29";"P3";"26839";"1714";"963";"1148";"388";"2,28";"2,49";"-"
"30";"P3";"27825";"986";"470";"1404";"373";"2,45";"2,39";"-"
"31";"P3";"28342";"517";"611";"354";"449";"2,31";"2,45";"-"
"32";"P3";"28976";"634";"1245";"722";"464";"2,25";"2,33";"-"
"33";"P3";"30244";"1268";"822";"1159";"467";"2,33";"2,36";"-"
"34";"P3";"31089";"845";"540";"1459";"449";"2,28";"2,41";"-"
"35";"P3";"31676";"587";"188";"471";"529";"2,29";"2,66";"-"
"36";"P3";"31888";"211";"611";"344";"558";"2,2";"2,55";"-"
"37";"P3";"32522";"634";"1010";"629";"581";"2,31";"2,52";"-"
"38";"P3";"33625";"1104";"1644";"926";"574";"0";"2,44";"-"
"39";"P3";"35292";"1667";"1315";"1307";"543";"2,26";"2,37";"-"
"40";"P3";"36678";"1385";"235";"505";"676";"0";"2,36";"-"
"41";"P3";"36936";"258";"916";"371";"624";"2,23";"2,49";"-"
"42";"P3";"37875";"939";"423";"718";"623";"2,33";"2,61";"-"
"43";"P3";"38392";"517";"282";"863";"635";"0";"2,36";"-"
"44";"P3";"38697";"305";"798";"849";"637";"2,34";"2,42";"-"
"45";"P3";"39519";"822";"2066";"1286";"611";"2,39";"0";"-"
"46";"P3";"41632";"2113";"211";"470";"637";"2,01";"0";"-"
"47";"P3";"41867";"235";"1198";"365";"698";"2,1";"2,29";"-"
"48";"P3";"43229";"1362";"845";"683";"725";"2,18";"2,42";"-"
"49";"P3";"44121";"892";"704";"904";"701";"0";"2,23";"-"
"50";"P3";"44849";"728";"1245";"1141";"694";"2,34";"2,31";"-"
"51";"P3";"46117";"1268";"657";"1381";"689";"2,17";"0";"-"
"52";"P3";"46822";"704";"963";"373";"774";"2,21";"2,49";"-"
"53";"P3";"47808";"986";"704";"728";"791";"2,23";"2,42";"-"
"54";"P3";"48536";"728";"986";"1086";"786";"0";"2,45";"-"
"55";"P3";"49546";"1010";"728";"1400";"768";"2,39";"2,42";"-"
"56";"P3";"50344";"798";"1714";"426";"849";"2,31";"2,39";"-"
"57";"P3";"52152";"1808";"235";"846";"446";"2,36";"2,45";"-"
"1";"P6";"0";"0";"282";"801";"406";"3,14";"3,02";"-"
"2";"P6";"399";"399";"235";"275";"195";"3";"3,03";"-"
"3";"P6";"657";"258";"1385";"405";"124";"0";"2,92";"-"
"4";"P6";"2066";"1409";"611";"670";"164";"0";"3,14";"-"
"5";"P6";"2700";"634";"470";"1070";"145";"0";"3,21";"-"
"6";"P6";"3193";"493";"258";"1363";"109";"0";"3,05";"-"
"7";"P6";"3475";"282";"164";"382";"195";"0";"3,27";"-"
"8";"P6";"3663";"188";"564";"333";"219";"0";"3,18";"-"
"9";"P6";"4250";"587";"611";"559";"248";"0";"3,45";"-"
"10";"P6";"4884";"634";"657";"933";"248";"3,66";"3,5";"-"
"11";"P6";"5565";"681";"493";"1281";"220";"3,79";"3,53";"-"
"12";"P6";"6152";"587";"1010";"370";"322";"3,72";"3,67";"-"
"13";"P6";"7185";"1033";"728";"642";"343";"3,64";"3,29";"-"
"14";"P6";"7937";"751";"1503";"447";"345";"3,82";"3,64";"-"
"15";"P6";"9463";"1526";"564";"839";"352";"3,93";"3,77";"-"
"16";"P6";"10050";"587";"587";"1212";"310";"3,87";"3,59";"-"
"17";"P6";"10661";"611";"164";"1424";"265";"3,56";"3,34";"-"
"18";"P6";"10848";"188";"188";"456";"442";"0";"3,48";"-"
"19";"P6";"11060";"211";"188";"174";"434";"0";"3,32";"-"
"20";"P6";"11271";"211";"376";"416";"380";"0";"3,29";"-"
"21";"P6";"11670";"399";"446";"766";"379";"3,32";"3,24";"-"
"22";"P6";"12140";"470";"1409";"1119";"383";"3,45";"3,27";"-"
"23";"P6";"13572";"1432";"282";"1421";"336";"3,42";"3,14";"-"
"24";"P6";"13901";"329";"798";"368";"479";"0";"3,24";"-"
"25";"P6";"14723";"822";"376";"501";"457";"0";"3,08";"-"
"26";"P6";"15122";"399";"751";"711";"472";"3,21";"3,03";"-"
"27";"P6";"15897";"775";"1104";"940";"459";"3,14";"2,98";"-"
"28";"P6";"17024";"1127";"845";"1348";"398";"3,14";"3,03";"-"
"29";"P6";"18010";"986";"399";"371";"556";"0";"2,98";"-"
"30";"P6";"18433";"423";"540";"546";"537";"3,03";"3,11";"-"
"31";"P6";"18996";"564";"657";"943";"531";"3,08";"3,11";"-"
"32";"P6";"19677";"681";"446";"1299";"503";"3,05";"2,97";"-"
"33";"P6";"20147";"470";"117";"1558";"454";"3,05";"2,98";"-"
"34";"P6";"20311";"164";"681";"375";"634";"0";"3,08";"-"
"35";"P6";"21016";"704";"892";"581";"606";"3,14";"3,03";"-"
"36";"P6";"21932";"916";"822";"1004";"595";"3,46";"3,14";"-"
"37";"P6";"22777";"845";"376";"1346";"566";"3";"2,74";"-"
"38";"P6";"23176";"399";"164";"436";"718";"0";"3,05";"-"
"39";"P6";"23364";"188";"470";"307";"678";"2,73";"2,92";"-"
"40";"P6";"23857";"493";"540";"514";"665";"2,61";"2,73";"-"
"41";"P6";"24421";"564";"1174";"1059";"638";"2,63";"2,52";"-"
"42";"P6";"25618";"1198";"470";"1401";"599";"2,44";"2,42";"-"
"43";"P6";"26135";"517";"728";"329";"726";"0";"2,45";"-"
"44";"P6";"26886";"751";"587";"621";"714";"0";"2,49";"-"
"45";"P6";"27497";"611";"775";"964";"721";"2,65";"2,6";"-"
"46";"P6";"28295";"798";"564";"1345";"695";"2,76";"2,6";"-"
"47";"P6";"28906";"611";"188";"399";"795";"0";"2,55";"-"
"48";"P6";"29117";"211";"751";"322";"805";"2,58";"2,65";"-"
"49";"P6";"29892";"775";"939";"774";"780";"2,73";"2,69";"-"
"50";"P6";"30854";"963";"939";"993";"781";"0";"2,73";"-"
"51";"P6";"31817";"963";"1033";"1310";"785";"2,57";"2,71";"-"
"52";"P6";"32897";"1080";"939";"358";"863";"2,5";"2,73";"-"
"53";"P6";"33860";"963";"164";"551";"795";"2,71";"2,74";"-"
"54";"P6";"34048";"188";"258";"427";"455";"0";"2,82";"-"
"1";"P7";"117";"0";"188";"441";"225";"4,09";"4,01";"-"
"2";"P7";"329";"211";"1315";"330";"79";"3,82";"3,83";"-"
"3";"P7";"1667";"1338";"775";"689";"89";"3,93";"3,83";"-"
"4";"P7";"2466";"798";"587";"1046";"107";"3,79";"3,72";"-"
"5";"P7";"3076";"611";"470";"1344";"59";"3,93";"3,8";"-"
"6";"P7";"3593";"517";"892";"351";"169";"3,93";"3,79";"-"
"7";"P7";"4508";"916";"939";"714";"160";"3,95";"3,75";"-"
"8";"P7";"5565";"1057";"540";"1113";"218";"3,66";"3,59";"-"
"9";"P7";"6129";"564";"822";"1280";"155";"3,64";"3,53";"-"
"10";"P7";"6997";"869";"986";"343";"244";"3,64";"3,61";"-"
"11";"P7";"8007";"1010";"517";"524";"251";"3,82";"3,67";"-"
"12";"P7";"8712";"704";"634";"735";"321";"3,88";"3,74";"-"
"13";"P7";"9369";"657";"728";"663";"272";"3,75";"3,66";"-"
"14";"P7";"10120";"751";"681";"1030";"276";"3,83";"3,8";"-"
"15";"P7";"10825";"704";"892";"1297";"249";"3,77";"3,66";"-"
"16";"P7";"11741";"916";"211";"1420";"267";"3,56";"3,63";"-"
"17";"P7";"11999";"258";"1198";"348";"334";"3,48";"3,67";"-"
"18";"P7";"13220";"1221";"493";"681";"343";"3,72";"3,55";"-"
"19";"P7";"13737";"517";"1808";"1068";"337";"3,63";"3,53";"-"
"20";"P7";"15568";"1832";"657";"1378";"318";"3,56";"3,45";"-"
"21";"P7";"16320";"751";"446";"218";"477";"3,51";"3,63";"-"
"22";"P7";"16789";"470";"2019";"488";"414";"3,67";"3,56";"-"
"23";"P7";"19020";"2231";"1151";"751";"417";"3,45";"3,43";"-"
"24";"P7";"20382";"1362";"587";"1008";"463";"3,82";"3,72";"-"
"25";"P7";"21157";"775";"470";"1265";"407";"3,83";"3,88";"-"
"26";"P7";"21650";"493";"235";"1397";"379";"3,9";"3,67";"-"
"27";"P7";"22096";"446";"611";"295";"480";"3,63";"3,59";"-"
"28";"P7";"22730";"634";"399";"638";"528";"4,12";"3,93";"-"
"29";"P7";"23317";"587";"399";"883";"519";"3,95";"3,66";"-"
"30";"P7";"23740";"423";"611";"973";"494";"3,98";"3,64";"-"
"31";"P7";"24491";"751";"446";"1196";"525";"3,75";"3,58";"-"
"32";"P7";"24961";"470";"399";"1459";"465";"3,88";"3,74";"-"
"33";"P7";"25407";"446";"352";"291";"572";"3,88";"3,82";"-"
"34";"P7";"25970";"564";"423";"385";"606";"3,82";"3,75";"-"
"35";"P7";"26416";"446";"517";"642";"571";"4,09";"3,85";"-"
"36";"P7";"26957";"540";"986";"1018";"568";"4,03";"3,8";"-"
"37";"P7";"27966";"1010";"517";"1283";"567";"3,95";"3,93";"-"
"38";"P7";"28530";"564";"657";"354";"636";"3,9";"3,98";"-"
"39";"P7";"29211";"681";"587";"579";"648";"3,98";"3,79";"-"
"40";"P7";"29821";"611";"1221";"1033";"629";"3,96";"3,75";"-"
"41";"P7";"31066";"1245";"611";"1347";"633";"3,79";"3,5";"-"
"42";"P7";"31723";"657";"1033";"359";"703";"3,66";"3,59";"-"
"43";"P7";"32780";"1057";"1127";"824";"714";"3,82";"3,61";"-"
"44";"P7";"33931";"1151";"892";"1232";"710";"3,98";"3,75";"-"
"45";"P7";"34846";"916";"564";"1334";"706";"4,14";"3,98";"-"
"46";"P7";"35457";"611";"1010";"356";"780";"4,09";"3,96";"-"
"47";"P7";"36490";"1033";"564";"742";"777";"4,03";"3,74";"-"
"48";"P7";"37077";"587";"728";"863";"833";"3,61";"0";"-"
"49";"P7";"37828";"751";"939";"1271";"779";"3,71";"3,55";"-"
"50";"P7";"38791";"963";"164";"1488";"787";"3,99";"3,98";"-"
"51";"P7";"39002";"211";"1479";"390";"855";"3,85";"3,98";"-"
"52";"P7";"40505";"1503";"235";"557";"797";"4,04";"3,83";"-"
