"No.";"Name";"Time (ms)";"Timegap (ms)";"Duration";"Gaze X";"Gaze Y";"Pupil Diameter Left (mm)";"Pupil Diameter Right (mm)";"AOI"
"1";"P5";"0";"0";"0";"678";"159";"3,1";"3,03";"-"
"2";"P5";"23";"23";"23";"700";"170";"2,9";"0";"-"
"3";"P5";"47";"23";"23";"680";"155";"2,92";"0";"-"
"4";"P5";"70";"23";"23";"684";"199";"3";"0";"-"
"5";"P5";"94";"23";"23";"653";"198";"3,1";"0";"-"
"6";"P5";"117";"23";"23";"676";"199";"2,97";"0";"-"
"7";"P5";"141";"23";"23";"680";"195";"3";"3,3";"-"
"8";"P5";"164";"23";"23";"677";"176";"2,95";"0";"-"
"9";"P5";"188";"23";"23";"661";"178";"3,03";"3,19";"-"
"10";"P5";"211";"23";"23";"674";"191";"3,16";"3,34";"-"
"11";"P5";"235";"23";"23";"677";"177";"3,02";"3,29";"-"
"12";"P5";"258";"23";"23";"664";"209";"3,08";"3,43";"-"
"13";"P5";"282";"23";"23";"495";"153";"3,18";"0";"-"
"14";"P5";"305";"23";"23";"420";"173";"3,18";"3,35";"-"
"15";"P5";"329";"23";"23";"427";"164";"3,08";"0";"-"
"16";"P5";"352";"23";"23";"218";"93";"3,02";"3,22";"-"
"17";"P5";"376";"23";"23";"240";"112";"3,05";"3,27";"-"
"18";"P5";"399";"23";"23";"254";"126";"3,06";"3,21";"-"
"19";"P5";"423";"23";"23";"256";"113";"3,05";"3,19";"-"
"20";"P5";"446";"23";"23";"255";"115";"2,97";"3,21";"-"
"21";"P5";"470";"23";"23";"221";"73";"2,94";"0";"-"
"22";"P5";"493";"23";"23";"246";"104";"2,82";"3,27";"-"
"23";"P5";"517";"23";"23";"231";"55";"2,81";"3,19";"-"
"24";"P5";"540";"23";"23";"234";"96";"2,84";"3,05";"-"
"25";"P5";"564";"23";"23";"235";"94";"2,81";"3,08";"-"
"26";"P5";"587";"23";"23";"222";"103";"2,76";"2,94";"-"
"27";"P5";"611";"23";"23";"245";"85";"2,81";"0";"-"
"28";"P5";"634";"23";"23";"238";"118";"2,84";"3,08";"-"
"29";"P5";"657";"23";"23";"234";"99";"2,86";"3,08";"-"
"30";"P5";"681";"23";"23";"232";"102";"2,68";"3,02";"-"
"31";"P5";"704";"23";"23";"232";"90";"2,74";"2,9";"-"
"32";"P5";"728";"23";"23";"219";"68";"2,76";"3,08";"-"
"33";"P5";"751";"23";"23";"238";"64";"2,73";"3,05";"-"
"34";"P5";"775";"23";"23";"225";"84";"2,69";"0";"-"
"35";"P5";"798";"23";"23";"379";"112";"2,86";"0";"-"
"36";"P5";"822";"23";"23";"443";"97";"2,71";"0";"-"
"37";"P5";"845";"23";"23";"442";"107";"2,73";"0";"-"
"38";"P5";"869";"23";"23";"468";"116";"2,73";"0";"-"
"39";"P5";"892";"23";"23";"438";"131";"2,87";"0";"-"
"40";"P5";"916";"23";"23";"458";"148";"2,84";"0";"-"
"41";"P5";"939";"23";"23";"465";"117";"2,79";"0";"-"
"42";"P5";"963";"23";"23";"433";"107";"2,74";"0";"-"
"43";"P5";"986";"23";"23";"440";"114";"2,76";"0";"-"
"44";"P5";"1010";"23";"23";"453";"128";"2,86";"0";"-"
"45";"P5";"1033";"23";"23";"441";"102";"2,9";"0";"-"
"46";"P5";"1057";"23";"23";"440";"133";"2,81";"3";"-"
"47";"P5";"1080";"23";"23";"673";"125";"2,81";"2,95";"-"
"48";"P5";"1104";"23";"23";"692";"137";"2,89";"3,06";"-"
"49";"P5";"1127";"23";"23";"684";"121";"2,82";"3,13";"-"
"50";"P5";"1151";"23";"23";"678";"125";"2,84";"3,02";"-"
"51";"P5";"1315";"164";"164";"798";"276";"2,9";"0";"-"
"52";"P5";"1338";"23";"23";"822";"173";"3";"0";"-"
"53";"P5";"1362";"23";"23";"840";"143";"2,9";"0";"-"
"54";"P5";"1385";"23";"23";"832";"104";"2,92";"0";"-"
"55";"P5";"1409";"23";"23";"800";"129";"3,08";"0";"-"
"56";"P5";"1432";"23";"23";"817";"181";"3,02";"0";"-"
"57";"P5";"1456";"23";"23";"821";"129";"3,05";"0";"-"
"58";"P5";"1479";"23";"23";"982";"120";"3,03";"0";"-"
"59";"P5";"1503";"23";"23";"998";"99";"2,98";"0";"-"
"60";"P5";"1526";"23";"23";"969";"135";"3,24";"3,13";"-"
"61";"P5";"1550";"23";"23";"969";"131";"3,18";"3,16";"-"
"62";"P5";"1573";"23";"23";"977";"130";"3,14";"3,19";"-"
"63";"P5";"1597";"23";"23";"1006";"160";"3,11";"0";"-"
"64";"P5";"1620";"23";"23";"995";"147";"3,1";"0";"-"
"65";"P5";"1644";"23";"23";"1164";"124";"3,05";"0";"-"
"66";"P5";"1667";"23";"23";"1191";"114";"3,02";"3,18";"-"
"67";"P5";"1691";"23";"23";"1185";"114";"3,13";"3,08";"-"
"68";"P5";"1714";"23";"23";"1168";"105";"3,08";"3,03";"-"
"69";"P5";"1738";"23";"23";"1173";"116";"3,14";"3,03";"-"
"70";"P5";"1761";"23";"23";"1190";"108";"3,03";"3,05";"-"
"71";"P5";"1785";"23";"23";"1190";"106";"2,95";"3,03";"-"
"72";"P5";"1808";"23";"23";"1179";"141";"3,13";"3,06";"-"
"73";"P5";"1832";"23";"23";"1199";"135";"3,05";"3,06";"-"
"74";"P5";"1855";"23";"23";"1406";"107";"3,05";"3,05";"-"
"75";"P5";"1879";"23";"23";"1409";"111";"3,02";"3,03";"-"
"76";"P5";"1902";"23";"23";"1411";"92";"3,02";"2,95";"-"
"77";"P5";"1925";"23";"23";"1407";"114";"3,03";"3";"-"
"78";"P5";"1949";"23";"23";"1405";"119";"3,1";"3";"-"
"79";"P5";"1972";"23";"23";"1395";"94";"2,95";"2,95";"-"
"80";"P5";"1996";"23";"23";"1414";"114";"3,03";"3,13";"-"
"81";"P5";"2019";"23";"23";"1451";"112";"3,06";"3,06";"-"
"82";"P5";"2043";"23";"23";"1504";"103";"2,97";"3";"-"
"83";"P5";"2066";"23";"23";"1517";"96";"2,95";"3,03";"-"
"84";"P5";"2090";"23";"23";"1525";"89";"2,97";"3,03";"-"
"85";"P5";"2113";"23";"23";"1521";"84";"2,94";"2,98";"-"
"86";"P5";"2160";"47";"47";"495";"182";"2,95";"0";"-"
"87";"P5";"2184";"23";"23";"295";"198";"2,97";"3,18";"-"
"88";"P5";"2207";"23";"23";"303";"167";"2,82";"3,13";"-"
"89";"P5";"2231";"23";"23";"305";"164";"2,84";"3,18";"-"
"90";"P5";"2254";"23";"23";"320";"193";"2,81";"3,14";"-"
"91";"P5";"2278";"23";"23";"299";"160";"2,84";"3,11";"-"
"92";"P5";"2301";"23";"23";"296";"181";"2,86";"3,08";"-"
"93";"P5";"2325";"23";"23";"246";"166";"2,81";"3,08";"-"
"94";"P5";"2348";"23";"23";"250";"193";"2,95";"3,06";"-"
"95";"P5";"2372";"23";"23";"262";"165";"2,87";"2,98";"-"
"96";"P5";"2395";"23";"23";"264";"198";"2,87";"3,1";"-"
"97";"P5";"2419";"23";"23";"258";"178";"2,81";"3,18";"-"
"98";"P5";"2442";"23";"23";"275";"167";"2,89";"3,1";"-"
"99";"P5";"2466";"23";"23";"274";"185";"2,94";"3,13";"-"
"100";"P5";"2489";"23";"23";"440";"165";"2,89";"3,06";"-"
"101";"P5";"2513";"23";"23";"440";"174";"2,98";"3,02";"-"
